City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
248,Sao Filipe,CV,73.63,Clear,14.8961,-24.4956,Hotel Xaguate
249,Shellbrook,CA,60.03,Clouds,53.2168,-106.4011,Shellbrook Hotel
250,Port Blair,IN,81.36,Clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
251,Pacific Grove,US,71.89,Clouds,36.6177,-121.9166,Lovers Point Inn
252,Moron,AR,67.75,Clear,-34.6534,-58.6198,Hotel Morón
254,Gizo,SB,84.29,Clouds,-8.103,156.8419,Imagination Island
255,Jumla,NP,50.36,Clouds,29.2747,82.1838,Royal Garden Hotel
256,Plettenberg Bay,ZA,59.95,Rain,-34.0527,23.3716,Thanda Vista B&B
257,Labuhan,ID,78.57,Clouds,-6.8844,112.2051,DoubleFAG
260,Nador,MA,62.85,Clear,35.174,-2.9287,Hôtel La Giralda
261,Oderzo,IT,59.34,Clouds,45.7882,12.5019,Villa Foscarini Cornaro
262,Dinan,FR,51.75,Clouds,48.4167,-2.25,Domaine de La Ville Heleuc
263,Penon Blanco,MX,89.8,Clear,24.7897,-104.0369,Hotel Lopez
265,Codrington,AU,52.59,Rain,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
266,Cap Malheureux,MU,77.88,Clouds,-19.9842,57.6142,Pereybere Hotel & Spa
267,Dubrovnik,HR,60.44,Clouds,42.6481,18.0922,Hotel Dubrovnik Palace
268,Mayo,US,59.67,Rain,38.8876,-76.5119,Resorts Resource Group International
270,Sayyan,YE,62.83,Clear,15.1718,44.3244,ملاطف ابوحورية
271,Carutapera,BR,76.3,Clouds,-1.195,-46.02,Lidera
272,Haveli,PK,85.96,Clear,30.4502,73.6989,Nasir Khan Lodhi
273,Katsuura,JP,64.33,Clouds,35.1333,140.3,Katsuura Hotel Mikazuki
275,Noumea,NC,79.0,Clouds,-22.2763,166.4572,Hôtel Le Lagon
277,Sibolga,ID,76.6,Rain,1.7427,98.7792,Hotel Syariah CN Darussalam
278,Zyryanovsk,KZ,51.91,Clear,49.7386,84.2719,Гостиница «ЭВЕРЕСТ»
280,Cabo San Lucas,MX,82.71,Clear,22.8909,-109.9124,Hotel Tesoro Los Cabos
282,Sitka,US,48.09,Clouds,57.0531,-135.33,Westmark Sitka
284,Nurota,UZ,72.68,Clear,40.5614,65.6886,Guest House Ruslan Nurata & Tours
285,Shingu,JP,64.99,Clouds,33.7333,135.9833,Shingu UI Hotel
286,Port Hedland,AU,71.65,Clear,-20.3167,118.5667,The Esplanade Hotel
287,Sao Joao Da Barra,BR,72.84,Clouds,-21.6403,-41.0511,Pousada Porto De Canoas
288,Puertollano,ES,60.08,Clear,38.6871,-4.1073,Hotel Puertollano
290,Fort Nelson,CA,53.19,Clouds,58.8053,-122.7002,The Fort Nelson Hotel
293,Weligama,LK,80.11,Clouds,5.9667,80.4167,Weligama Bay Resort
295,Zambezi,ZM,64.49,Clouds,-13.5432,23.1047,Royal Kutachika Lodge
296,Qixingtai,CN,72.55,Clouds,30.4135,111.8874,Hualian Hotel
299,Kununurra,AU,75.18,Clear,-15.7667,128.7333,Hotel Kununurra
