City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Peace River,CA,2022-05-05 18:43:39,56.2501,-117.286,59.31,47,75,6.91
1,Liberal,US,2022-05-05 18:43:07,37.0431,-100.921,60.04,55,100,21.85
2,Mildura,AU,2022-05-05 18:44:11,-34.2,142.15,40.96,93,0,5.75
3,Khatanga,RU,2022-05-05 18:44:12,71.9667,102.5,30.74,95,100,9.42
4,Marawi,PH,2022-05-05 18:38:38,7.9986,124.2928,69.13,94,36,1.72
5,Zorritos,PE,2022-05-05 18:44:12,-3.6805,-80.6782,82.69,70,100,13.33
6,Walvis Bay,NA,2022-05-05 18:44:13,-22.9575,14.5053,66.09,45,0,8.93
7,Cape Town,ZA,2022-05-05 18:42:54,-33.9258,18.4232,60.12,89,20,5.75
8,Hasaki,JP,2022-05-05 18:38:47,35.7333,140.8333,59.4,80,100,9.91
9,Cuitzeo,MX,2022-05-05 18:44:13,20.3333,-102.7833,82.47,31,15,6.6
10,Cherskiy,RU,2022-05-05 18:44:14,68.75,161.3,31.24,88,100,5.95
11,Avarua,CK,2022-05-05 18:44:14,-21.2078,-159.775,78.85,89,100,4.61
12,Mataura,NZ,2022-05-05 18:44:15,-46.1927,168.8643,52.48,90,84,3.13
13,Jamestown,US,2022-05-05 18:39:43,42.097,-79.2353,65.52,60,0,9.22
14,Hilo,US,2022-05-05 18:39:46,19.7297,-155.09,77.29,96,100,0.0
15,Carnarvon,AU,2022-05-05 18:44:15,-24.8667,113.6333,64.47,52,0,6.91
16,Rikitea,PF,2022-05-05 18:44:16,-23.1203,-134.9692,78.26,84,41,15.08
17,Luderitz,NA,2022-05-05 18:44:16,-26.6481,15.1594,63.14,64,0,6.33
18,Nanortalik,GL,2022-05-05 18:43:16,60.1432,-45.2371,34.12,77,100,10.98
19,Capinota,BO,2022-05-05 18:44:17,-17.7167,-66.2333,81.81,18,0,3.56
20,Yellowknife,CA,2022-05-05 18:40:35,62.456,-114.3525,48.72,61,20,8.05
21,Ribeira Grande,PT,2022-05-05 18:44:18,38.5167,-28.7,64.8,88,75,11.5
22,Bluff,NZ,2022-05-05 18:44:18,-46.6,168.3333,52.81,86,92,5.82
23,Busselton,AU,2022-05-05 18:44:19,-33.65,115.3333,55.51,59,0,15.26
24,Port Alfred,ZA,2022-05-05 18:44:19,-33.5906,26.891,71.31,59,0,4.16
25,East London,ZA,2022-05-05 18:44:19,-33.0153,27.9116,72.54,78,0,5.75
26,Atuona,PF,2022-05-05 18:44:20,-9.8,-139.0333,78.49,75,100,13.96
27,Albany,US,2022-05-05 18:44:20,42.6001,-73.9662,67.59,42,99,5.35
28,Airai,TL,2022-05-05 18:44:21,-8.9266,125.4092,59.43,93,42,3.02
29,Talnakh,RU,2022-05-05 18:44:21,69.4865,88.3972,16.21,96,100,8.03
30,Tiksi,RU,2022-05-05 18:44:22,71.6872,128.8694,2.23,100,92,6.13
31,Ushuaia,AR,2022-05-05 18:44:22,-54.8,-68.3,49.66,46,40,18.41
32,Tsumeb,NA,2022-05-05 18:44:23,-19.2333,17.7167,64.09,40,0,7.87
33,Hithadhoo,MV,2022-05-05 18:44:23,-0.6,73.0833,83.91,74,100,16.87
34,Kuusamo,FI,2022-05-05 18:44:24,65.9667,29.1833,33.84,86,100,8.05
35,Tommot,RU,2022-05-05 18:44:24,58.9564,126.2925,28.45,97,92,6.29
36,Ostrovnoy,RU,2022-05-05 18:44:24,68.0531,39.5131,16.99,88,4,9.42
37,Kapaa,US,2022-05-05 18:41:33,22.0752,-159.319,77.32,80,40,16.11
38,Qaanaaq,GL,2022-05-05 18:44:25,77.484,-69.3632,19.45,78,5,6.42
39,Bandarbeyla,SO,2022-05-05 18:44:25,9.4942,50.8122,82.2,85,4,9.73
40,Beringovskiy,RU,2022-05-05 18:44:26,63.05,179.3167,17.4,85,14,3.51
41,Kavieng,PG,2022-05-05 18:35:55,-2.5744,150.7967,82.74,78,100,12.68
42,Georgetown,MY,2022-05-05 18:39:55,5.4112,100.3354,82.33,88,20,3.44
43,Portland,US,2022-05-05 18:38:11,45.5234,-122.6762,51.04,90,100,9.22
44,Saint-Philippe,RE,2022-05-05 18:44:27,-21.3585,55.7679,76.59,86,92,16.82
45,Vostok,RU,2022-05-05 18:44:27,46.4856,135.8833,48.63,64,100,5.97
46,Rio Gallegos,AR,2022-05-05 18:44:27,-51.6226,-69.2181,57.25,38,40,17.27
47,Torbay,CA,2022-05-05 18:44:28,47.6666,-52.7314,47.17,76,100,17.27
48,Sokyryany,UA,2022-05-05 18:45:28,48.4475,27.4168,48.69,58,6,6.53
49,Lorengau,PG,2022-05-05 18:45:29,-2.0226,147.2712,80.73,82,14,4.94
50,Vaini,TO,2022-05-05 18:45:29,-21.2,-175.2,69.96,94,20,1.14
51,Celestun,MX,2022-05-05 18:45:30,20.8667,-90.4,91.11,56,13,6.71
52,Faya,SA,2022-05-05 18:45:30,18.3851,42.4509,66.72,39,70,2.37
53,Port Elizabeth,ZA,2022-05-05 18:45:24,-33.918,25.5701,62.31,73,0,2.3
54,Sola,VU,2022-05-05 18:45:31,-13.8833,167.55,81.95,72,3,6.53
55,Hermanus,ZA,2022-05-05 18:45:31,-34.4187,19.2345,59.81,92,15,6.71
56,Tudela,ES,2022-05-05 18:45:32,42.0617,-1.6045,63.5,62,0,20.89
57,Camana,PE,2022-05-05 18:45:32,-16.6228,-72.7111,70.18,78,10,7.96
58,Mareeba,AU,2022-05-05 18:45:33,-17.0,145.4333,67.44,94,7,2.04
